ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not_used,Season,Crop_status
6432,1785,Food,silt,2,15,12,35,1,0
6433,1785,Food,silt,2,15,47,2,1,0
6434,1786,Food,silt,2,20,24,22,3,0
6435,1785,Food,silt,2,40,17,27,3,0
6436,1786,Food,silt,2,40,21,2,2,0
6437,1786,Food,silt,2,45,27,19,2,0
6438,1785,Food,silt,2,70,32,19,2,0
6439,1786,Food,silt,2,20,18,25,3,0
6440,1785,Food,silt,2,20,32,13,3,0
6441,1898,Food,silt,2,5,17,32,2,0
6442,1898,Food,silt,2,10,12,35,2,0
6443,1898,Food,silt,2,10,27,23,3,0
6444,1898,Food,silt,2,15,15,36,1,0
6445,1898,Food,silt,2,15,29,11,2,0
6446,1898,Food,silt,2,15,36,11,3,0
6447,1898,Food,silt,2,20,,21,2,0
6448,1898,Food,silt,2,20,19,22,2,0
6449,1898,Food,silt,2,20,19,30,3,0
6450,1898,Food,silt,2,20,33,11,2,0
6451,1898,Food,silt,2,25,,23,1,0
6452,1898,Food,silt,2,40,30,6,1,0
6453,1898,Food,silt,2,40,32,5,2,0
6454,1898,Food,silt,2,40,,3,1,0
6455,1898,Food,silt,2,80,36,12,1,0
6456,1898,Food,silt,2,20,27,21,2,0
6457,2015,Food,silt,2,40,18,32,3,0
6458,2016,Food,silt,2,50,12,37,3,0
6459,2016,Food,silt,2,5,27,17,1,0
6460,2016,Food,silt,2,10,5,37,2,0
6461,2015,Food,silt,2,10,9,32,2,0
6462,2015,Food,silt,2,10,21,28,2,0
6463,2015,Food,silt,2,10,27,23,3,0
6464,2015,Food,silt,2,10,30,17,3,0
6465,2015,Food,silt,2,10,41,16,2,0
6466,2015,Food,silt,2,15,17,32,3,0
6467,2016,Food,silt,2,20,11,37,1,0
6468,2015,Food,silt,2,20,,29,1,0
6469,2016,Food,silt,2,20,22,32,2,0
6470,2015,Food,silt,2,20,25,5,1,0
6471,2015,Food,silt,2,20,30,24,1,0
6472,2016,Food,silt,2,20,38,19,2,0
6473,2015,Food,silt,2,25,30,14,1,0
6474,2016,Food,silt,2,40,27,24,1,0
6475,2016,Food,silt,2,60,50,1,1,0
6476,2015,Food,silt,2,75,,5,2,0
6477,2015,Food,silt,2,80,50,5,1,0
6478,2015,Food,silt,2,40,46,7,2,0
6479,2016,Food,silt,2,20,31,17,2,0
6480,2138,Food,silt,2,5,39,8,2,0
6481,2139,Food,silt,2,20,22,16,2,0
6482,2139,Food,silt,2,20,24,23,1,0
6483,2138,Food,silt,2,20,36,15,2,0
6484,2138,Food,silt,2,30,27,22,1,0
6485,2138,Food,silt,2,30,29,23,2,0
6486,2139,Food,silt,2,30,34,12,2,0
6487,2138,Food,silt,2,30,34,19,2,0
6488,2139,Food,silt,2,40,24,18,3,0
6489,2138,Food,silt,2,50,30,21,3,0
6490,2139,Food,silt,2,60,10,27,1,0
6491,2138,Food,silt,2,95,29,23,2,0
6492,2138,Food,silt,2,30,38,6,2,0
6493,2138,Food,silt,2,30,5,38,2,0
6494,2267,Food,silt,2,10,,39,3,0
6495,2267,Food,silt,2,10,25,24,1,0
6496,2267,Food,silt,2,10,43,10,1,0
6497,2267,Food,silt,2,15,22,17,2,0
6498,2267,Food,silt,2,20,27,19,3,0
6499,2267,Food,silt,2,20,39,8,3,0
6500,2267,Food,silt,2,20,55,1,1,0
6501,2267,Food,silt,2,25,20,24,2,0
6502,2267,Food,silt,2,30,37,17,3,0
6503,2267,Food,silt,2,30,40,7,2,0
6504,2267,Food,silt,2,30,44,7,2,0
6505,2267,Food,silt,2,40,12,32,1,0
6506,2267,Food,silt,2,40,19,30,2,0
6507,2267,Food,silt,2,40,25,28,3,0
6508,2267,Food,silt,2,60,15,36,1,0
6509,2267,Food,silt,2,30,42,9,1,0
6510,2267,Food,silt,2,40,37,11,2,0
6511,2401,Food,silt,2,5,24,25,1,0
6512,2401,Food,silt,2,10,,28,2,0
6513,2402,Food,silt,2,10,35,15,1,0
6514,2401,Food,silt,2,10,40,12,2,0
6515,2402,Food,silt,2,20,20,15,1,0
6516,2402,Food,silt,2,20,22,30,2,0
6517,2401,Food,silt,2,20,37,13,1,0
6518,2402,Food,silt,2,20,43,7,2,0
6519,2402,Food,silt,2,20,51,2,1,0
6520,2402,Food,silt,2,25,32,20,1,0
6521,2401,Food,silt,2,30,24,30,2,0
6522,2402,Food,silt,2,35,25,29,2,0
6523,2401,Food,silt,2,35,29,24,2,0
6524,2401,Food,silt,2,40,20,25,2,0
6525,2401,Food,silt,2,40,35,18,2,0
6526,2401,Food,silt,2,40,41,20,2,0
6527,2401,Food,silt,2,20,30,25,3,0
6528,2401,Food,silt,2,40,39,10,1,0
6529,2542,Food,silt,2,10,14,41,1,0
6530,2542,Food,silt,2,15,12,33,3,0
6531,2541,Food,silt,2,20,,33,2,0
6532,2542,Food,silt,2,20,31,19,2,0
6533,2541,Food,silt,2,20,50,1,2,0
6534,2541,Food,silt,2,30,27,31,2,0
6535,2541,Food,silt,2,30,50,9,2,0
6536,2542,Food,silt,2,20,32,21,1,0
6537,2542,Food,silt,2,20,44,9,1,0
6538,2541,Food,silt,2,15,,13,3,0
6539,2688,Food,silt,2,10,28,20,2,0
6540,2688,Food,silt,2,20,40,13,2,0
6541,2688,Food,silt,2,40,24,27,2,0
6542,2688,Food,silt,2,40,32,12,2,0
6543,2687,Food,silt,2,40,45,8,2,0
6544,2688,Food,silt,2,40,56,2,1,0
6545,2687,Food,silt,2,60,30,9,2,0
6546,2840,Food,silt,2,5,40,13,1,0
6547,2840,Food,silt,2,10,46,9,1,0
6548,2840,Food,silt,2,20,25,29,1,0
6549,2840,Food,silt,2,25,46,5,1,0
6550,2999,Food,silt,2,15,36,22,1,0
6551,2999,Food,silt,2,20,29,17,2,0
6552,2999,Food,silt,2,40,48,9,1,0
6553,2999,Food,silt,2,50,44,12,3,0
6554,2999,Food,silt,2,20,,19,2,0
6555,3164,Food,silt,2,5,17,37,3,0
6556,3164,Food,silt,2,5,33,30,2,0
6557,3165,Food,silt,2,10,35,20,3,0
6558,3165,Food,silt,2,10,48,10,2,0
6559,3164,Food,silt,2,20,20,35,1,0
6560,3164,Food,silt,2,30,,35,2,0
6561,3164,Food,silt,2,80,49,10,2,0
6562,3336,Food,silt,2,20,,32,2,0
6563,3336,Food,silt,2,5,33,25,2,0
6564,3337,Food,silt,2,20,46,13,1,0
6565,3337,Food,silt,2,30,17,41,3,0
6566,3516,Food,silt,2,15,34,25,1,0
6567,3516,Food,silt,2,20,31,17,3,0
6568,3516,Food,silt,2,30,30,27,2,0
6569,3515,Food,silt,2,20,21,22,2,0
6570,3516,Food,silt,2,20,37,14,1,0
6571,3702,Food,silt,2,10,14,48,2,0
6572,3702,Food,silt,2,20,,43,2,0
6573,3702,Food,silt,2,20,27,31,1,0
6574,3895,Food,silt,2,10,25,34,2,0
6575,3896,Food,silt,2,10,27,34,2,0
6576,3895,Food,silt,2,10,39,22,2,0
6577,3895,Food,silt,2,10,51,11,1,0
6578,3896,Food,silt,2,20,18,36,2,0
6579,4097,Food,silt,2,15,,32,3,0
6580,151,Feed,clay,2,15,16,1,2,0
6581,150,Feed,clay,2,40,15,3,1,0
6582,168,Feed,clay,2,20,14,0,3,0
6583,188,Feed,clay,2,5,16,1,2,0
6584,232,Feed,clay,2,5,15,4,1,0
6585,256,Feed,clay,2,10,5,8,1,0
6586,257,Feed,clay,2,40,24,1,1,0
6587,312,Feed,clay,2,20,15,6,2,0
6588,312,Feed,clay,2,30,17,8,2,0
6589,342,Feed,clay,2,5,12,1,1,0
6590,342,Feed,clay,2,10,26,1,2,0
6591,375,Feed,clay,2,5,10,14,1,0
6592,375,Feed,clay,2,10,8,9,2,0
6593,375,Feed,clay,2,25,,13,2,0
6594,375,Feed,clay,2,25,20,6,1,0
6595,375,Feed,clay,2,30,29,0,3,0
6596,375,Feed,clay,2,35,,14,3,0
6597,410,Feed,clay,2,30,19,12,3,0
6598,448,Feed,clay,2,10,18,10,2,0
6599,448,Feed,clay,2,20,,16,1,0
6600,448,Feed,clay,2,25,15,14,1,0
6601,448,Feed,clay,2,40,22,16,2,0
6602,489,Feed,clay,2,5,7,15,2,0
6603,488,Feed,clay,2,5,15,11,2,0
6604,489,Feed,clay,2,5,15,12,1,0
6605,488,Feed,clay,2,5,20,2,3,0
6606,488,Feed,clay,2,10,15,2,3,0
6607,489,Feed,clay,2,10,15,17,1,0
6608,489,Feed,clay,2,10,,10,3,0
6609,488,Feed,clay,2,60,,13,2,0
6610,531,Feed,clay,2,20,15,1,2,0
6611,531,Feed,clay,2,20,26,2,2,0
6612,577,Feed,clay,2,5,22,11,1,0
6613,577,Feed,clay,2,10,9,14,2,0
6614,577,Feed,clay,2,10,13,1,2,0
6615,577,Feed,clay,2,10,16,15,3,0
6616,577,Feed,clay,2,15,11,16,1,0
6617,577,Feed,clay,2,20,21,9,2,0
6618,577,Feed,clay,2,20,31,3,2,0
6619,577,Feed,clay,2,25,22,5,1,0
6620,577,Feed,clay,2,40,16,10,3,0
6621,626,Feed,clay,2,5,30,1,1,0
6622,625,Feed,clay,2,10,18,14,2,0
6623,625,Feed,clay,2,15,24,2,2,0
6624,625,Feed,clay,2,15,28,6,1,0
6625,625,Feed,clay,2,20,7,0,2,0
6626,625,Feed,clay,2,20,24,12,1,0
6627,625,Feed,clay,2,20,26,6,2,0
6628,625,Feed,clay,2,35,30,3,2,0
6629,626,Feed,clay,2,40,15,10,1,0
6630,626,Feed,clay,2,40,17,14,2,0
6631,626,Feed,clay,2,40,23,12,3,0
6632,626,Feed,clay,2,40,24,9,3,0
6633,625,Feed,clay,2,40,25,15,2,0
6634,677,Feed,clay,2,20,18,11,3,0
6635,677,Feed,clay,2,5,10,12,2,0
6636,677,Feed,clay,2,10,14,5,3,0
6637,677,Feed,clay,2,10,19,15,2,0
6638,677,Feed,clay,2,25,23,11,2,0
6639,732,Feed,clay,2,5,20,15,3,0
6640,732,Feed,clay,2,10,28,7,2,0
6641,732,Feed,clay,2,15,10,0,2,0
6642,732,Feed,clay,2,20,5,10,1,0
6643,732,Feed,clay,2,30,17,18,1,0
6644,731,Feed,clay,2,30,30,6,1,0
6645,789,Feed,clay,2,10,20,3,2,0
6646,790,Feed,clay,2,15,24,11,2,0
6647,790,Feed,clay,2,20,21,15,1,0
6648,789,Feed,clay,2,20,28,4,2,0
6649,790,Feed,clay,2,20,,0,1,0
6650,789,Feed,clay,2,25,24,11,2,0
6651,789,Feed,clay,2,40,33,2,2,0
6652,789,Feed,clay,2,40,35,2,2,0
6653,789,Feed,clay,2,60,13,23,2,0
6654,851,Feed,clay,2,5,10,8,2,0
6655,850,Feed,clay,2,15,16,22,2,0
6656,851,Feed,clay,2,20,13,18,1,0
6657,851,Feed,clay,2,25,31,5,1,0
6658,850,Feed,clay,2,40,25,12,2,0
6659,916,Feed,clay,2,5,39,7,3,0
6660,915,Feed,clay,2,10,12,3,2,0
6661,916,Feed,clay,2,10,13,23,2,0
6662,915,Feed,clay,2,10,30,9,2,0
6663,915,Feed,clay,2,20,30,11,2,0
6664,916,Feed,clay,2,30,17,15,1,0
6665,916,Feed,clay,2,40,10,18,3,0
6666,915,Feed,clay,2,10,5,24,1,0
6667,984,Feed,clay,2,5,15,11,3,0
6668,984,Feed,clay,2,10,15,6,1,0
6669,984,Feed,clay,2,10,27,10,3,0
6670,984,Feed,clay,2,10,27,11,2,0
6671,984,Feed,clay,2,20,10,20,2,0
6672,984,Feed,clay,2,20,32,1,3,0
6673,984,Feed,clay,2,20,,7,3,0
6674,984,Feed,clay,2,40,32,9,1,0
6675,984,Feed,clay,2,60,21,18,2,0
6676,984,Feed,clay,2,20,36,2,1,0
6677,1056,Feed,clay,2,30,36,5,1,0
6678,1056,Feed,clay,2,10,6,13,1,0
6679,1056,Feed,clay,2,10,12,24,1,0
6680,1056,Feed,clay,2,10,28,4,2,0
6681,1056,Feed,clay,2,15,19,22,1,0
6682,1056,Feed,clay,2,20,20,16,2,0
6683,1056,Feed,clay,2,20,30,11,3,0
6684,1056,Feed,clay,2,60,37,3,3,0
6685,1056,Feed,clay,2,80,16,23,2,0
6686,1132,Feed,clay,2,10,14,10,2,0
6687,1132,Feed,clay,2,10,,15,1,0
6688,1132,Feed,clay,2,20,20,8,2,0
6689,1132,Feed,clay,2,20,26,11,3,0
6690,1132,Feed,clay,2,20,28,10,2,0
6691,1132,Feed,clay,2,20,32,5,2,0
6692,1132,Feed,clay,2,30,9,19,2,0
6693,1132,Feed,clay,2,30,,9,1,0
6694,1132,Feed,clay,2,30,35,6,1,0
6695,1132,Feed,clay,2,40,34,6,2,0
6696,1212,Feed,clay,2,5,24,8,1,0
6697,1212,Feed,clay,2,5,28,12,2,0
6698,1212,Feed,clay,2,10,13,14,2,0
6699,1212,Feed,clay,2,10,,27,1,0
6700,1212,Feed,clay,2,10,27,5,3,0
6701,1212,Feed,clay,2,15,22,19,3,0
6702,1212,Feed,clay,2,15,25,3,2,0
6703,1212,Feed,clay,2,15,,6,2,0
6704,1212,Feed,clay,2,15,37,2,1,0
6705,1212,Feed,clay,2,20,10,29,3,0
6706,1212,Feed,clay,2,20,14,10,2,0
6707,1212,Feed,clay,2,20,33,13,1,0
6708,1212,Feed,clay,2,20,43,3,1,0
6709,1212,Feed,clay,2,40,26,19,3,0
6710,1212,Feed,clay,2,60,30,13,3,0
6711,1212,Feed,clay,2,20,25,9,1,0
6712,1297,Feed,clay,2,5,27,16,1,0
6713,1296,Feed,clay,2,10,35,10,2,0
6714,1296,Feed,clay,2,15,,23,2,0
6715,1297,Feed,clay,2,20,13,19,3,0
6716,1296,Feed,clay,2,20,,11,2,0
6717,1296,Feed,clay,2,20,29,15,2,0
6718,1297,Feed,clay,2,20,30,9,2,0
6719,1296,Feed,clay,2,20,37,2,1,0
6720,1297,Feed,clay,2,20,38,2,1,0
6721,1297,Feed,clay,2,30,22,18,3,0
6722,1297,Feed,clay,2,30,32,2,2,0
6723,1296,Feed,clay,2,30,37,3,3,0
6724,1297,Feed,clay,2,40,26,14,2,0
6725,1296,Feed,clay,2,40,45,0,3,0
6726,1385,Feed,clay,2,5,9,20,2,0
6727,1385,Feed,clay,2,5,10,31,3,0
6728,1385,Feed,clay,2,5,22,14,1,0
6729,1385,Feed,clay,2,5,30,9,1,0
6730,1385,Feed,clay,2,10,15,19,1,0
6731,1385,Feed,clay,2,15,36,11,2,0
6732,1385,Feed,clay,2,20,14,18,1,0
6733,1385,Feed,clay,2,20,,26,3,0
6734,1385,Feed,clay,2,30,18,20,1,0
6735,1385,Feed,clay,2,40,23,21,2,0
6736,1478,Feed,clay,2,20,33,12,3,0
6737,1478,Feed,clay,2,5,18,22,1,0
6738,1478,Feed,clay,2,5,30,16,2,0
6739,1478,Feed,clay,2,15,20,14,2,0
6740,1478,Feed,clay,2,20,36,9,3,0
6741,1478,Feed,clay,2,20,39,9,2,0
6742,1478,Feed,clay,2,40,30,7,2,0
6743,1478,Feed,clay,2,40,45,2,3,0
6744,1575,Feed,clay,2,20,32,11,2,0
6745,1576,Feed,clay,2,5,26,19,1,0
6746,1576,Feed,clay,2,20,20,28,2,0
6747,1576,Feed,clay,2,20,,5,1,0
6748,1678,Feed,clay,2,5,15,2,3,0
6749,1678,Feed,clay,2,5,,20,3,0
6750,1678,Feed,clay,2,10,18,29,2,0
6751,1678,Feed,clay,2,10,20,10,3,0
6752,1678,Feed,clay,2,10,21,22,3,0
6753,1678,Feed,clay,2,10,30,16,3,0
6754,1678,Feed,clay,2,20,,33,2,0
6755,1678,Feed,clay,2,20,40,3,1,0
6756,1678,Feed,clay,2,20,43,2,1,0
6757,1678,Feed,clay,2,50,26,20,2,0
6758,1786,Feed,clay,2,5,15,20,2,0
6759,1785,Feed,clay,2,15,40,10,3,0
6760,1785,Feed,clay,2,20,10,15,2,0
6761,1786,Feed,clay,2,20,20,0,1,0
6762,1785,Feed,clay,2,20,,20,3,0
6763,1785,Feed,clay,2,40,20,6,1,0
6764,1898,Feed,clay,2,20,36,10,3,0
6765,1898,Feed,clay,2,10,50,2,3,0
6766,1898,Feed,clay,2,20,30,17,3,0
6767,1898,Feed,clay,2,20,34,13,1,0
6768,1898,Feed,clay,2,20,35,10,1,0
6769,1898,Feed,clay,2,20,36,11,2,0
6770,1898,Feed,clay,2,20,39,9,1,0
6771,1898,Feed,clay,2,60,27,6,2,0
6772,1898,Feed,clay,2,30,47,1,2,0
6773,2016,Feed,clay,2,5,7,32,2,0
6774,2015,Feed,clay,2,5,16,35,2,0
6775,2015,Feed,clay,2,10,25,7,3,0
6776,2015,Feed,clay,2,10,26,21,1,0
6777,2015,Feed,clay,2,10,36,12,2,0
6778,2015,Feed,clay,2,10,43,6,3,0
6779,2016,Feed,clay,2,20,30,12,2,0
6780,2015,Feed,clay,2,20,33,14,2,0
6781,2016,Feed,clay,2,20,39,14,2,0
6782,2016,Feed,clay,2,40,48,4,2,0
6783,2015,Feed,clay,2,60,43,8,1,0
6784,2138,Feed,clay,2,5,16,35,3,0
6785,2138,Feed,clay,2,10,20,1,2,0
6786,2138,Feed,clay,2,10,40,6,1,0
6787,2139,Feed,clay,2,20,30,28,1,0
6788,2267,Feed,clay,2,5,25,14,2,0
6789,2267,Feed,clay,2,5,36,12,1,0
6790,2267,Feed,clay,2,10,7,32,2,0
6791,2267,Feed,clay,2,20,28,20,1,0
6792,2267,Feed,clay,2,20,32,10,3,0
6793,2267,Feed,clay,2,25,48,1,2,0
6794,2267,Feed,clay,2,40,48,3,2,0
6795,2401,Feed,clay,2,20,42,3,2,0
6796,2401,Feed,clay,2,40,45,3,2,0
6797,2541,Feed,clay,2,10,38,14,2,0
6798,2542,Feed,clay,2,20,20,11,2,0
6799,2542,Feed,clay,2,20,45,8,2,0
6800,2542,Feed,clay,2,20,55,2,2,0
6801,2541,Feed,clay,2,40,51,2,3,0
6802,2688,Feed,clay,2,5,41,12,2,0
6803,2688,Feed,clay,2,10,5,42,1,0
6804,2688,Feed,clay,2,20,30,12,2,0
6805,2687,Feed,clay,2,20,,12,1,0
6806,2687,Feed,clay,2,20,42,5,3,0
6807,2840,Feed,clay,2,10,18,25,2,0
6808,2840,Feed,clay,2,15,21,2,2,0
6809,2999,Feed,clay,2,15,33,23,2,0
6810,2999,Feed,clay,2,20,35,14,3,0
6811,2999,Feed,clay,2,40,56,2,3,0
6812,2999,Feed,clay,2,40,25,14,1,0
6813,3165,Feed,clay,2,5,25,20,1,0
6814,3165,Feed,clay,2,20,52,5,3,0
6815,3337,Feed,clay,2,5,40,11,3,0
6816,3337,Feed,clay,2,10,40,26,2,0
6817,3336,Feed,clay,2,20,50,4,2,0
6818,3516,Feed,clay,2,5,32,23,2,0
6819,3702,Feed,clay,2,10,11,29,3,0
6820,3702,Feed,clay,2,5,15,13,2,0
6821,3895,Feed,clay,2,60,56,5,1,0
6822,168,Feed,silt,1,0,0,0,1,1
6823,231,Food,clay,1,0,0,0,2,1
6824,410,Feed,clay,1,0,0,0,2,1
6825,851,Feed,clay,1,0,0,0,2,1
6826,915,Food,silt,1,0,,0,1,1
6827,1132,Feed,clay,1,0,0,0,2,1
6828,1678,Feed,silt,1,0,0,0,1,1
6829,2138,Food,silt,1,0,0,0,2,1
6830,2541,Feed,clay,1,0,0,0,1,1
6831,2542,Feed,clay,1,0,0,0,2,1
6832,2688,Feed,clay,1,0,,0,1,1
6833,2999,Feed,clay,1,0,0,0,3,1
6834,3895,Food,clay,1,0,0,0,2,1
6835,4096,Food,clay,1,0,0,0,3,1
6836,4096,Feed,silt,1,0,0,0,1,1
6837,150,Food,clay,3,25,23,0,3,0
6838,150,Food,clay,3,50,18,0,2,0
6839,150,Food,silt,3,30,8,0,1,0
6840,168,Food,clay,3,20,20,0,2,0
6841,168,Food,clay,3,30,24,0,2,0
6842,168,Food,silt,3,5,19,0,1,0
6843,168,Food,silt,3,10,,0,3,0
6844,168,Food,silt,3,35,,0,2,0
6845,188,Food,clay,3,20,17,0,2,0
6846,188,Food,silt,3,40,22,0,2,0
6847,188,Food,silt,3,60,22,0,1,0
6848,209,Food,clay,3,5,21,0,3,0
6849,231,Food,clay,3,50,19,0,3,0
6850,232,Food,clay,3,40,,0,2,0
6851,232,Food,silt,3,40,20,0,2,0
6852,232,Food,silt,3,40,21,0,2,0
6853,257,Food,clay,3,70,23,0,2,0
6854,257,Food,silt,3,5,20,0,2,0
6855,256,Food,silt,3,25,25,0,2,0
6856,256,Food,silt,3,35,25,0,3,0
6857,256,Food,silt,3,15,15,0,1,0
6858,312,Food,clay,3,5,25,0,1,0
6859,312,Food,clay,3,25,,0,1,0
6860,311,Food,clay,3,40,27,0,3,0
6861,311,Food,clay,3,80,30,0,2,0
6862,312,Food,silt,3,5,21,0,2,0
6863,311,Food,silt,3,10,30,0,3,0
6864,342,Food,silt,3,5,,0,3,0
6865,375,Food,clay,3,40,25,0,2,0
6866,375,Food,silt,3,30,22,0,2,0
6867,375,Food,silt,3,35,25,0,1,0
6868,375,Food,silt,3,20,14,0,1,0
6869,410,Food,clay,3,10,5,0,3,0
6870,410,Food,clay,3,30,15,0,2,0
6871,410,Food,silt,3,25,,0,1,0
6872,410,Food,silt,3,30,26,0,1,0
6873,410,Food,silt,3,40,31,0,1,0
6874,411,Food,silt,3,50,,0,1,0
6875,410,Food,silt,3,80,35,0,3,0
6876,448,Food,clay,3,5,13,0,1,0
6877,448,Food,clay,3,5,19,0,2,0
6878,448,Food,clay,3,20,23,0,2,0
6879,448,Food,clay,3,20,25,0,2,0
6880,448,Food,clay,3,60,25,0,2,0
6881,448,Food,clay,3,80,36,0,3,0
6882,448,Food,silt,3,20,17,0,2,0
6883,448,Food,silt,3,30,37,0,1,0
6884,448,Food,silt,3,60,28,0,2,0
6885,448,Food,silt,3,80,29,0,1,0
6886,488,Food,clay,3,10,,0,1,0
6887,489,Food,clay,3,30,25,0,3,0
6888,488,Food,silt,3,20,,0,3,0
6889,488,Food,silt,3,30,,0,1,0
6890,488,Food,silt,3,35,23,0,2,0
6891,488,Food,silt,3,40,37,0,2,0
6892,488,Food,silt,3,45,31,0,2,0
6893,488,Food,silt,3,40,,0,2,0
6894,531,Food,clay,3,5,10,0,1,0
6895,531,Food,clay,3,35,28,0,2,0
6896,531,Food,clay,3,40,40,0,2,0
6897,531,Food,clay,3,40,30,0,2,0
6898,531,Food,silt,3,10,9,0,2,0
6899,531,Food,silt,3,50,36,0,3,0
6900,577,Food,clay,3,5,15,0,1,0
6901,577,Food,clay,3,5,,0,1,0
6902,577,Food,clay,3,10,,0,2,0
6903,577,Food,clay,3,15,16,0,2,0
6904,577,Food,silt,3,5,12,0,1,0
6905,577,Food,silt,3,5,23,0,1,0
6906,577,Food,silt,3,5,32,0,3,0
6907,577,Food,silt,3,20,25,0,1,0
6908,577,Food,silt,3,20,40,0,3,0
6909,577,Food,silt,3,50,16,0,2,0
6910,577,Food,silt,3,55,31,0,1,0
6911,577,Food,silt,3,30,40,0,3,0
6912,625,Food,clay,3,5,32,0,2,0
6913,625,Food,clay,3,40,34,0,2,0
6914,625,Food,silt,3,65,33,0,1,0
6915,625,Food,silt,3,20,27,0,1,0
6916,677,Food,clay,3,45,39,0,2,0
6917,677,Food,clay,3,75,37,0,3,0
6918,677,Food,clay,3,50,40,0,2,0
6919,677,Food,clay,3,20,43,0,3,0
6920,677,Food,clay,3,20,35,0,2,1
6921,677,Food,clay,3,30,38,0,2,0
6922,677,Food,silt,3,10,32,0,3,0
6923,677,Food,silt,3,10,40,0,3,0
6924,732,Food,clay,3,10,37,0,3,0
6925,732,Food,silt,3,15,22,0,1,0
6926,731,Food,silt,3,35,,0,2,0
6927,789,Food,clay,3,5,20,0,3,0
6928,790,Food,clay,3,10,36,0,3,0
6929,789,Food,clay,3,60,37,0,1,0
6930,789,Food,silt,3,30,32,0,1,0
6931,851,Food,clay,3,20,31,0,2,0
6932,850,Food,clay,3,35,36,0,1,0
6933,850,Food,clay,3,60,41,0,2,0
6934,851,Food,clay,3,30,43,0,1,0
6935,851,Food,clay,3,40,45,0,2,0
6936,851,Food,silt,3,20,41,0,1,0
6937,851,Food,silt,3,50,33,0,2,0
6938,851,Food,silt,3,80,34,0,2,0
6939,851,Food,silt,3,80,37,0,2,0
6940,851,Food,silt,3,50,40,0,2,0
6941,915,Food,clay,3,20,47,0,3,0
6942,915,Food,clay,3,40,35,0,2,1
6943,915,Food,clay,3,10,,0,2,0
6944,916,Food,silt,3,20,15,0,1,0
6945,916,Food,silt,3,60,40,0,2,0
6946,915,Food,silt,3,80,47,0,3,0
6947,915,Food,silt,3,20,41,0,3,0
6948,915,Food,silt,3,10,35,0,2,0
6949,915,Food,silt,3,35,39,0,2,0
6950,984,Food,clay,3,15,,0,3,0
6951,984,Food,clay,3,20,,0,2,0
6952,984,Food,clay,3,40,33,0,2,0
6953,984,Food,clay,3,60,37,0,1,0
6954,984,Food,silt,3,20,26,0,1,0
6955,984,Food,silt,3,30,33,0,2,0
6956,1056,Food,clay,3,10,45,0,1,0
6957,1056,Food,clay,3,45,37,0,1,0
6958,1056,Food,clay,3,20,42,0,3,1
6959,1056,Food,silt,3,70,35,0,3,0
6960,1056,Food,silt,3,30,,0,2,0
6961,1132,Food,clay,3,20,20,0,3,0
6962,1132,Food,clay,3,30,43,0,3,1
6963,1132,Food,clay,3,60,40,0,1,0
6964,1132,Food,clay,3,20,36,0,3,0
6965,1132,Food,clay,3,50,40,0,1,0
6966,1132,Food,silt,3,20,46,0,2,0
6967,1212,Food,clay,3,30,30,0,2,0
6968,1212,Food,silt,3,20,39,0,3,1
6969,1212,Food,silt,3,20,39,0,2,1
6970,1212,Food,silt,3,15,33,0,2,0
6971,1212,Food,silt,3,20,43,0,3,1
6972,1296,Food,clay,3,25,25,0,1,0
6973,1296,Food,clay,3,35,38,0,1,0
6974,1297,Food,clay,3,70,51,0,2,0
6975,1296,Food,clay,3,20,41,0,2,1
6976,1296,Food,silt,3,5,30,0,2,0
6977,1296,Food,silt,3,30,42,0,2,1
6978,1297,Food,silt,3,20,44,0,3,1
6979,1385,Food,clay,3,10,26,0,1,0
6980,1385,Food,clay,3,20,22,0,2,0
6981,1385,Food,clay,3,20,48,0,1,1
6982,1385,Food,clay,3,40,49,0,1,1
6983,1385,Food,clay,3,10,45,0,1,1
6984,1385,Food,silt,3,40,36,0,2,0
6985,1385,Food,silt,3,10,44,0,2,0
6986,1385,Food,silt,3,20,44,0,1,1
6987,1385,Food,silt,3,5,48,0,1,0
6988,1385,Food,silt,3,40,37,0,1,0
6989,1385,Food,silt,3,15,39,0,1,0
6990,1478,Food,clay,3,10,40,0,2,1
6991,1478,Food,clay,3,20,49,0,3,1
6992,1478,Food,clay,3,40,47,0,1,1
6993,1478,Food,silt,3,10,20,0,2,0
6994,1478,Food,silt,3,10,30,0,1,0
6995,1478,Food,silt,3,20,45,0,2,1
6996,1576,Food,clay,3,5,40,0,1,0
6997,1576,Food,clay,3,15,46,0,2,0
6998,1576,Food,clay,3,20,44,0,2,1
6999,1576,Food,clay,3,25,46,0,3,0
7000,1576,Food,clay,3,15,,0,2,0
7001,1576,Food,clay,3,40,52,0,2,1
7002,1576,Food,clay,3,30,47,0,1,1
7003,1576,Food,silt,3,10,25,0,2,0
7004,1576,Food,silt,3,15,39,0,1,0
7005,1575,Food,silt,3,20,46,0,3,1
7006,1576,Food,silt,3,30,36,0,2,0
7007,1575,Food,silt,3,35,46,0,3,0
7008,1576,Food,silt,3,40,53,0,1,0
7009,1576,Food,silt,3,10,30,0,1,0
7010,1678,Food,clay,3,10,51,0,2,0
7011,1678,Food,clay,3,15,51,0,2,0
7012,1678,Food,clay,3,20,34,0,2,0
